timestamp,user_id,amount,merchant,method,country,label
2025-10-16 09:51:30.690786,USER_4482,97.58,Walgreens,UPI,JPN,0
2025-10-16 10:08:01.690786,USER_3539,10.52,BP,Bank Transfer,IND,0
2025-10-16 10:19:37.690786,USER_4066,14.64,Starbucks,UPI,CAN,0
2025-10-16 10:26:54.690786,USER_9516,58.45,Target,Bank Transfer,FRA,0
2025-10-16 10:27:25.690786,USER_4153,34.5,Flipkart,Bank Transfer,FRA,0
2025-10-16 10:55:35.690786,USER_2380,163.1,WholeFoods,Cash,IND,1
2025-10-16 11:00:06.690786,USER_9383,5.83,WholeFoods,Debit Card,USA,0
2025-10-16 11:03:33.690786,USER_8039,162.44,Target,Debit Card,USA,0
2025-10-16 11:09:12.690786,USER_1110,41.04,HomeDepot,Credit Card,CAN,0
2025-10-16 11:21:51.690786,USER_5035,505.6,Target,UPI,USA,1
2025-10-16 11:29:00.690786,USER_1709,23.02,Flipkart,UPI,UK,0
2025-10-16 11:37:52.690786,USER_3061,60.63,BP,Debit Card,UK,0
2025-10-16 11:45:19.690786,USER_4201,64.13,McDonalds,Debit Card,IND,0
2025-10-16 12:10:19.690786,USER_1881,0.68,Costco,Cash,CAN,0
2025-10-16 12:13:13.690786,USER_8949,16.9,Nike,UPI,FRA,0
2025-10-16 12:32:31.690786,USER_6908,56.87,WholeFoods,Bank Transfer,AUS,0
2025-10-16 12:38:58.690786,USER_3920,25.4,HomeDepot,PayPal,USA,0
2025-10-16 12:39:12.690786,USER_1381,27.69,McDonalds,Bank Transfer,UK,0
2025-10-16 12:46:41.690786,USER_7126,40.44,Walmart,Credit Card,GER,0
2025-10-16 12:51:03.690786,USER_5675,0.9,BestBuy,Cash,GER,0
2025-10-16 12:57:52.690786,USER_4908,9.8,Shell,Debit Card,JPN,0
2025-10-16 13:10:26.690786,USER_7412,45.26,McDonalds,Bank Transfer,GER,0
2025-10-16 13:26:30.690786,USER_7450,22.5,BestBuy,Credit Card,FRA,0
2025-10-16 13:42:27.690786,USER_9821,11.01,Flipkart,Credit Card,AUS,0
2025-10-16 13:47:30.690786,USER_9764,75.81,Nike,UPI,UK,0
2025-10-16 14:06:22.690786,USER_3071,2.43,BestBuy,PayPal,FRA,0
2025-10-16 14:27:55.690786,USER_4580,30.72,Flipkart,Credit Card,JPN,0
2025-10-16 14:42:52.690786,USER_3013,15.98,BestBuy,Cash,JPN,0
2025-10-16 14:50:43.690786,USER_3813,4.63,Walgreens,Credit Card,AUS,0
2025-10-16 15:06:02.690786,USER_1196,145.72,McDonalds,UPI,GER,0
2025-10-16 15:09:08.690786,USER_6359,2.98,BP,UPI,UK,0
2025-10-16 15:17:25.690786,USER_6944,66.21,Costco,Debit Card,FRA,0
2025-10-16 15:31:15.690786,USER_9035,31.77,Walgreens,Debit Card,AUS,0
2025-10-16 15:41:51.690786,USER_4555,3.11,McDonalds,PayPal,UK,0
2025-10-16 15:42:49.690786,USER_1673,250.14,BP,Cash,FRA,0
2025-10-16 15:46:44.690786,USER_7861,70.93,BP,Debit Card,UK,0
2025-10-16 15:49:29.690786,USER_3134,65.37,Flipkart,Bank Transfer,IND,0
2025-10-16 16:01:59.690786,USER_2973,107.69,Walgreens,Cash,AUS,0
2025-10-16 16:07:15.690786,USER_7366,63.56,Starbucks,Bank Transfer,AUS,0
2025-10-16 16:14:16.690786,USER_1963,75.84,BestBuy,Debit Card,IND,0
2025-10-16 16:31:48.690786,USER_7505,19.08,BestBuy,PayPal,GER,0
2025-10-16 16:32:00.690786,USER_9830,17.91,Walmart,UPI,FRA,0
2025-10-16 16:46:28.690786,USER_6628,296.25,McDonalds,Cash,FRA,0
2025-10-16 17:05:29.690786,USER_2072,4.99,Amazon,PayPal,IND,0
2025-10-16 17:05:54.690786,USER_1128,35.5,Starbucks,Bank Transfer,FRA,0
2025-10-16 17:13:56.690786,USER_1004,51.98,Walgreens,Cash,AUS,0
2025-10-16 17:20:51.690786,USER_5752,24.6,Walgreens,PayPal,UK,0
2025-10-16 17:21:53.690786,USER_7765,72.37,Shell,UPI,USA,0
2025-10-16 17:32:43.690786,USER_3757,10.89,Shell,Bank Transfer,AUS,0
2025-10-16 17:37:06.690786,USER_4261,72.28,Walgreens,Cash,CAN,0
2025-10-16 17:56:57.690786,USER_3167,6.17,Nike,Cash,UK,0
2025-10-16 18:02:19.690786,USER_4530,35.51,BP,Bank Transfer,IND,0
2025-10-16 18:02:33.690786,USER_3395,269.82,BP,UPI,IND,0
2025-10-16 18:12:05.690786,USER_7260,16.78,HomeDepot,PayPal,CAN,0
2025-10-16 18:13:16.690786,USER_9810,9.4,Flipkart,PayPal,IND,0
2025-10-16 18:37:00.690786,USER_7765,88.14,BestBuy,Credit Card,CAN,0
2025-10-16 18:40:00.690786,USER_2900,73.37,Starbucks,Bank Transfer,AUS,0
2025-10-16 18:46:31.690786,USER_5308,16.84,CVS,Cash,FRA,0
2025-10-16 18:56:44.690786,USER_2981,9.69,Nike,PayPal,CAN,0
2025-10-16 19:03:15.690786,USER_2520,29.49,Nike,Bank Transfer,AUS,0
2025-10-16 19:05:44.690786,USER_1612,60.03,WholeFoods,UPI,UK,0
2025-10-16 19:11:17.690786,USER_3683,18.7,Amazon,Credit Card,UK,0
2025-10-16 19:31:18.690786,USER_8476,320.07,BestBuy,Debit Card,GER,0
