timestamp,user_id,amount,merchant,method,country,label,hour,dayofweek,is_weekend,timestamp_utc,prediction,probability
2025-10-17 04:37:47.690786+00:00,USER_2007,199.12,Walgreens,debit card,JPN,1,4,4,0,2025-10-17 04:37:47.690786,1,0.7656206470851177
2025-10-17 14:16:42.690786+00:00,USER_5921,175.21,Costco,cash,UK,1,14,4,0,2025-10-17 14:16:42.690786,1,0.737802798357037
2025-10-17 14:26:42.690786+00:00,USER_2922,260.56,WholeFoods,paypal,FRA,1,14,4,0,2025-10-17 14:26:42.690786,1,0.7186161002314451
2025-10-18 02:01:49.690786+00:00,USER_2994,396.03,Amazon,paypal,AUS,0,2,5,1,2025-10-18 02:01:49.690786,1,0.7910736075901257
2025-10-18 03:59:59.690786+00:00,USER_9425,203.04,CVS,paypal,IND,1,3,5,1,2025-10-18 03:59:59.690786,1,0.7331069829022023
2025-10-18 04:19:37.690786+00:00,USER_4602,165.43,Target,cash,FRA,1,4,5,1,2025-10-18 04:19:37.690786,1,0.7828845792081839
2025-10-18 06:17:14.690786+00:00,USER_3859,339.24,Costco,paypal,UK,0,6,5,1,2025-10-18 06:17:14.690786,1,0.7437223930264225
2025-10-18 07:15:52.690786+00:00,USER_3483,198.59,BP,credit card,AUS,0,7,5,1,2025-10-18 07:15:52.690786,1,0.70051129397588
2025-10-18 18:22:22.690786+00:00,USER_9142,173.77,Target,debit card,FRA,1,18,5,1,2025-10-18 18:22:22.690786,1,0.7853597468279121
2025-10-18 20:36:01.690786+00:00,USER_4012,275.49,Walmart,paypal,CAN,0,20,5,1,2025-10-18 20:36:01.690786,1,0.7044059386327745
2025-10-18 22:49:02.690786+00:00,USER_9202,161.67,Target,paypal,GER,0,22,5,1,2025-10-18 22:49:02.690786,1,0.7067688776652292
2025-10-19 02:49:59.690786+00:00,USER_9776,195.09,McDonalds,cash,IND,0,2,6,1,2025-10-19 02:49:59.690786,1,0.7509334831382053
2025-10-19 06:35:24.690786+00:00,USER_7004,354.86,WholeFoods,paypal,AUS,0,6,6,1,2025-10-19 06:35:24.690786,1,0.7177715435917811
2025-10-19 21:38:05.690786+00:00,USER_7390,255.36,Target,cash,CAN,0,21,6,1,2025-10-19 21:38:05.690786,1,0.777901399880572
2025-10-20 02:12:11.690786+00:00,USER_7529,201.3,Costco,debit card,AUS,1,2,0,0,2025-10-20 02:12:11.690786,1,0.7270771308973454
2025-10-20 11:34:25.690786+00:00,USER_9074,337.71,Amazon,debit card,CAN,0,11,0,0,2025-10-20 11:34:25.690786,1,0.74636980940685
2025-10-20 18:49:05.690786+00:00,USER_8605,387.52,Target,credit card,FRA,0,18,0,0,2025-10-20 18:49:05.690786,1,0.7405835992107157
2025-10-20 19:00:31.690786+00:00,USER_7769,253.37,Target,paypal,IND,1,19,0,0,2025-10-20 19:00:31.690786,1,0.7901800238759695
2025-10-20 20:33:58.690786+00:00,USER_7897,215.68,CVS,bank transfer,IND,0,20,0,0,2025-10-20 20:33:58.690786,1,0.7442162403906681
2025-10-21 00:37:33.690786+00:00,USER_2912,408.23,Amazon,cash,GER,0,0,1,0,2025-10-21 00:37:33.690786,1,0.7447420818375647
2025-10-21 03:28:22.690786+00:00,USER_3391,184.5,Walgreens,credit card,JPN,0,3,1,0,2025-10-21 03:28:22.690786,1,0.744570819436344
2025-10-21 09:03:31.690786+00:00,USER_2460,304.67,CVS,upi,AUS,1,9,1,0,2025-10-21 09:03:31.690786,1,0.7622543121086585
2025-10-21 22:29:42.690786+00:00,USER_3318,291.81,Walmart,bank transfer,UK,1,22,1,0,2025-10-21 22:29:42.690786,1,0.7499367475951884
2025-10-21 23:12:20.690786+00:00,USER_7914,244.31,CVS,paypal,UK,1,23,1,0,2025-10-21 23:12:20.690786,1,0.7470953362502156
2025-10-22 02:20:38.690786+00:00,USER_1326,390.67,McDonalds,debit card,IND,0,2,2,0,2025-10-22 02:20:38.690786,1,0.7487040070998183
